idCliente;idRegiao;primeiroNome;nomeMeio;ultimoNome;dataNascimento;estadoCivil;sexo;email;endereco;telefone
11000;26;Jon;V;Yang;1971-10-06;M;M;jon24@adventure-works.com;3761 N. 14th St;1 (11) 500 555-0162
11001;37;Eugene;L;Huang;1976-05-10;S;M;eugene10@adventure-works.com;2243 W St.;1 (11) 500 555-0110
11002;31;Ruben;NULL;Torres;1971-02-09;M;M;ruben35@adventure-works.com;5844 Linden Land;1 (11) 500 555-0184
11003;11;Christy;NULL;Zhu;1973-08-14;S;F;christy12@adventure-works.com;1825 Village Pl.;1 (11) 500 555-0162
11004;19;Elizabeth;NULL;Johnson;1979-08-05;S;F;elizabeth5@adventure-works.com;7553 Harness Circle;1 (11) 500 555-0131
11005;22;Julio;NULL;Ruiz;1976-08-01;S;M;julio1@adventure-works.com;7305 Humphrey Drive;1 (11) 500 555-0151
11006;8;Janet;G;Alvarez;1976-12-02;S;F;janet9@adventure-works.com;2612 Berry Dr;1 (11) 500 555-0184
11007;40;Marco;NULL;Mehta;1969-11-06;M;M;marco14@adventure-works.com;942 Brook Street;1 (11) 500 555-0126
11008;32;Rob;NULL;Verhoff;1975-07-04;S;F;rob4@adventure-works.com;624 Peabody Road;1 (11) 500 555-0164
11009;25;Shannon;C;Carlson;1969-09-29;S;M;shannon38@adventure-works.com;3839 Northgate Road;1 (11) 500 555-0110
11010;22;Jacquelyn;C;Suarez;1969-08-05;S;F;jacquelyn20@adventure-works.com;7800 Corrinne Court;1 (11) 500 555-0169
11011;22;Curtis;NULL;Lu;1969-05-03;M;M;curtis9@adventure-works.com;1224 Shoenic;1 (11) 500 555-0117
11012;611;Lauren;M;Walker;1979-01-14;M;F;lauren41@adventure-works.com;4785 Scott Street;717-555-0164
11013;543;Ian;M;Jenkins;1979-08-03;M;M;ian47@adventure-works.com;7902 Hudson Ave.;817-555-0185
11014;634;Sydney;NULL;Bennett;1973-11-06;S;F;sydney23@adventure-works.com;9011 Tank Drive;431-555-0156
11015;301;Chloe;NULL;Young;1984-08-26;S;F;chloe23@adventure-works.com;244 Willow Pass Road;208-555-0142
11016;329;Wyatt;L;Hill;1984-10-25;M;M;wyatt32@adventure-works.com;9666 Northridge Ct.;135-555-0171
11017;39;Shannon;NULL;Wang;1949-12-24;S;F;shannon1@adventure-works.com;7330 Saddlehill Lane;1 (11) 500 555-0195
11018;32;Clarence;D;Rai;1955-10-06;S;M;clarence32@adventure-works.com;244 Rivewview;1 (11) 500 555-0137
11019;52;Luke;L;Lal;1983-09-04;S;M;luke18@adventure-works.com;7832 Landing Dr;262-555-0112
11020;53;Jordan;C;King;1984-03-19;S;M;jordan73@adventure-works.com;7156 Rose Dr.;550-555-0163
11021;536;Destiny;NULL;Wilson;1984-03-02;S;F;destiny7@adventure-works.com;8148 W. Lake Dr.;622-555-0158
11022;609;Ethan;G;Zhang;1984-04-10;M;M;ethan20@adventure-works.com;1769 Nicholas Drive;589-555-0185
11023;298;Seth;M;Edwards;1984-04-09;M;M;seth46@adventure-works.com;4499 Valley Crest;452-555-0188
11024;311;Russell;NULL;Xie;1984-03-16;M;M;russell7@adventure-works.com;8734 Oxford Place;746-555-0186
11025;24;Alejandro;NULL;Beck;1951-06-22;M;M;alejandro45@adventure-works.com;2596 Franklin Canyon Road;1 (11) 500 555-0178
11026;4;Harold;NULL;Sai;1951-10-01;S;M;harold3@adventure-works.com;8211 Leeds Ct.;1 (11) 500 555-0131
11027;40;Jessie;R;Zhao;1952-06-05;M;M;jessie16@adventure-works.com;213 Valencia Place;1 (11) 500 555-0184
11028;17;Jill;NULL;Jimenez;1951-10-09;M;F;jill13@adventure-works.com;9111 Rose Ann Ave;1 (11) 500 555-0116
11029;32;Jimmy;L;Moreno;1952-06-19;M;M;jimmy9@adventure-works.com;6385 Mark Twain;1 (11) 500 555-0146
11030;28;Bethany;G;Yuan;1958-02-18;M;F;bethany10@adventure-works.com;636 Vine Hill Way;1 (11) 500 555-0182
11031;8;Theresa;G;Ramos;1953-02-18;M;F;theresa13@adventure-works.com;6465 Detroit Ave.;1 (11) 500 555-0195
11032;35;Denise;NULL;Stone;1952-12-08;M;F;denise10@adventure-works.com;626 Bentley Street;1 (11) 500 555-0169
11033;9;Jaime;NULL;Nath;1958-09-19;M;M;jaime41@adventure-works.com;5927 Rainbow Dr;1 (11) 500 555-0137
11034;12;Ebony;NULL;Gonzalez;1952-12-16;M;F;ebony19@adventure-works.com;5167 Condor Place;1 (11) 500 555-0136
11035;33;Wendy;NULL;Dominguez;1953-08-23;M;F;wendy12@adventure-works.com;1873 Mt. Whitney Dr;1 (11) 500 555-0177
11036;343;Jennifer;C;Russell;1984-06-16;M;F;jennifer93@adventure-works.com;3981 Augustine Drive;115-555-0183
11037;49;Chloe;M;Garcia;1983-05-27;S;F;chloe27@adventure-works.com;8915 Woodside Way;229-555-0112
11038;6;Diana;F;Hernandez;1953-09-20;M;F;diana2@adventure-works.com;8357 Sandy Cove Lane;1 (11) 500 555-0114
11039;19;Marc;J;Martin;1954-06-16;M;M;marc3@adventure-works.com;9353 Creekside Dr.;1 (11) 500 555-0183
11040;642;Jesse;NULL;Murphy;1983-01-29;M;M;jesse15@adventure-works.com;3350 Kingswood Circle;961-555-0176
11041;325;Amanda;M;Carter;1983-04-15;M;F;amanda53@adventure-works.com;5826 Escobar;295-555-0145
11042;338;Megan;J;Sanchez;1982-12-11;M;F;megan28@adventure-works.com;1397 Paraiso Ct.;404-555-0199
11043;325;Nathan;M;Simmons;1981-08-23;M;M;nathan11@adventure-works.com;1170 Shaw Rd;296-555-0181
11044;25;Adam;L;Flores;1954-11-21;M;M;adam10@adventure-works.com;6935 Candle Dr;1 (11) 500 555-0163
